"","DXBZ","CZBZ","WMBZ"
"北京",9.3,30.55,8.7
"天津",4.67,29.38,8.92
"河北",0.96,24.69,15.21
"山西",1.38,29.24,11.3
"内蒙古",1.48,25.47,15.39
"辽宁",2.6,32.32,8.81
"吉林",2.15,26.31,10.49
"黑龙江",2.14,28.46,10.87
"上海",6.53,31.59,11.04
"江苏",1.47,26.43,17.23
"浙江",1.17,23.74,17.46
"安徽",0.88,19.97,24.43
"福建",1.23,16.87,15.63
"江西",0.99,18.84,16.22
"山东",0.98,25.18,16.87
"河南",0.85,26.55,16.15
"湖北",1.57,23.16,15.79
"湖南",1.14,22.57,12.1
"广东",1.34,23.04,10.45
"广西",0.79,19.14,10.61
"海南",1.24,22.53,13.97
"四川",0.96,21.65,16.24
"贵州",0.78,14.65,24.27
"云南",0.81,13.85,25.44
"西藏",0.57,3.85,44.43
"陕西",1.67,24.36,17.62
"甘肃",1.1,16.85,27.93
"青海",1.49,17.76,27.7
"宁夏",1.61,20.27,22.06
"新疆",1.85,20.66,12.75
